"MSIS"	"S10MathPS_SS_Fall"	"S10MathProc_SS_Fall"
1121499	638	661
1121503	588	593
1121505	635	667
1121510	645	687
1121514	638	655
1121520	595	658
1121567	699	640
1121568	672	667
1121569	622	650
1121572	638	717
1121573	628	640
1121574	616	631
1121576	627	620
1121578	682	705
1121579	641	667
1121582	663	687
1121584	628	667
1121586	676	695
1121588	598	695
1121589	628	655
1121590	693	695
1121593	645	705
1121594	635	661
1121596	635	673
1121597	612	572
1121599	615	640
1121600	638	640
1121601	641	673
1121602	667	673
1121610	648	650
1121611	681	695
1121616	682	733
1121620	707	782
1121621	625	625
1121624	628	630
1121629	602	605
1121633	667	661
1121634	663	687
1121636	606	668
1121637	645	645
1121639	581	615
1121644	612	640
1121645	655	673
1121648	635	673
1121653	667	733
1121654	571	566
1121657	599	615
1121658	591	599
1121661	609	625
1121666	631	635
1121668	635	687
1121671	569	596
1121672	573	555
1121673	631	591
1121674	599	668
1121678	792	759
1121683	609	625
1121684	553	622
1121685	655	680
1121686	625	655
1121688	591	610
1121689	631	667
1121691	638	687
1121694	743	717
1121695	639	720
1121696	667	695
1121698	537	541
1121700	584	596
1121702	628	650
1121712	635	650
1121730	645	673
1121750	595	630
1121765	672	717
1121788	639	695
1121790	648	680
1122423	599	650
1122820	549	542
1122828	635	592
1122878	658	679
1123453	557	555
1123460	699	687
1123461	561	625
1123463	635	668
1123467	623	615
1123469	602	605
1123471	565	620
1123475	552	572
1123483	655	661
1123486	613	631
1123488	613	625
1123495	616	650
1123496	635	643
1123500	627	650
1123510	639	650
1123521	584	625
1123523	592	643
1123530	644	637
1123533	581	591
1123535	644	695
1123539	616	620
1123540	595	643
1123546	635	643
1123547	639	679
1124158	588	591
1125867	635	673
1126439	638	673
1127379	NA	650
1127458	622	695
1127581	602	610
1128337	655	717
1128352	592	610
1128389	652	695
1129960	635	620
1134345	561	555
1134352	623	615
1134355	606	668
1134358	592	610
1134360	631	645
1134367	618	635
1134373	592	555
1134428	584	596
1134480	641	625
1134481	667	673
1134489	595	601
1135331	648	687
1136013	612	640
1136353	653	679
1136362	599	601
1136714	644	650
1136716	639	744
1136720	648	744
1136730	627	637
1137933	588	577
1138066	613	586
1138097	571	542
1138105	631	650
1138107	605	592
1138115	622	645
1138141	644	596
1138144	635	655
1138159	667	680
1138251	631	625
1138263	548	566
1138326	609	625
1138331	577	548
1138337	659	667
1138360	615	614
1138364	693	705
1138366	602	620
1138379	622	635
1138390	618	680
1138649	613	637
1138891	663	687
1138902	631	655
1139526	655	650
1139583	655	705
1139606	622	625
1139624	638	609
1140342	595	610
1142770	567	508
1142825	635	680
1142959	591	583
1144245	602	599
1144314	567	572
1145293	605	604
1145945	595	610
1147112	655	687
1147125	588	582
1148739	649	642
1150175	598	555
1150414	537	555
1150769	657	654
1150823	560	588
1150914	637	636
1151126	623	637
1152812	658	637
1154703	595	599
1155576	557	518
1155647	699	705
1156958	NA	NA
1158924	537	542
1162370	657	682
1162675	581	645
1162695	616	620
1162721	644	637
1162732	599	615
1162739	553	555
1162767	557	572
1162771	602	643
1162772	644	720
1162774	644	695
1162776	557	593
1162779	669	720
1162783	595	637
1162785	592	631
1162786	635	695
1162791	623	650
1162793	683	720
1162800	616	625
1162801	623	643
1162802	606	620
1162804	599	658
1162806	609	643
1162807	564	549
1162808	588	583
1162809	584	658
1162810	557	542
1162821	599	637
1162831	683	695
1163483	619	642
1163497	682	695
1164125	598	599
1164145	637	645
1164163	609	622
1164177	574	566
1164182	595	610
1164803	602	583
1164809	622	636
1164818	588	631
1164829	676	668
1164830	545	542
1164831	663	679
1164832	701	643
1164835	561	512
1164836	602	650
1164838	577	591
1165577	627	643
1165584	548	541
1165589	639	679
1165590	598	588
1165593	637	622
1166433	588	572
1166455	657	654
1166471	637	708
1166474	626	708
1166790	616	656
1166915	553	535
1166976	635	586
1166990	627	596
1167010	591	588
1167043	622	682
1167046	669	679
1167052	602	582
1167055	627	650
1167158	606	631
1167180	635	679
1167511	627	695
1167518	606	620
1167521	616	720
1167673	623	720
1167691	591	588
1167955	631	668
1167976	557	542
1167986	620	610
1168226	669	658
1168231	620	615
1168235	581	620
1168239	581	577
1168246	623	586
1168266	595	615
1168313	571	566
1168320	577	566
1168365	613	643
1168521	571	566
1168543	644	668
1168567	714	695
1168610	595	599
1168689	663	668
1168693	639	679
1168709	588	593
1168740	657	708
1168751	605	622
1168782	669	679
1168788	623	615
1168791	639	650
1168807	653	601
1168841	527	542
1168907	631	629
1168921	627	601
1169084	669	631
1169086	676	668
1169973	577	549
1170506	569	555
1170547	627	643
1170558	584	620
1170818	588	577
1170820	584	610
1171236	609	625
1171245	588	586
1171587	639	679
1171959	644	643
1172394	663	679
1173328	648	605
1173973	627	650
1174405	527	527
1174419	620	668
1174443	564	561
1174446	553	518
1174550	617	636
1174555	588	561
1174559	560	577
1174563	571	593
1174583	574	593
1175201	631	610
1175571	545	542
1175574	616	679
1175579	648	679
1175581	605	583
1175583	584	610
1175589	592	605
1175590	616	631
1175729	635	658
1176235	574	583
1176308	567	542
1177598	592	610
1178252	606	668
1184068	560	555
1184367	592	720
1184377	616	637
1184381	557	577
1184385	592	610
1184752	613	645
1184758	676	668
1185526	588	591
1185659	549	535
1185678	613	566
1185725	602	620
1185730	565	591
1185732	663	668
1185734	644	620
1185747	584	533
1185781	622	588
1186031	613	610
1186043	598	588
1186116	609	620
1186161	569	572
1186166	577	555
1186178	567	542
1186183	639	631
1186192	584	605
1186196	584	566
1186200	574	561
1186204	599	615
1186222	606	601
1188729	616	650
1188972	567	622
1190587	588	605
1190595	574	518
1190615	599	605
1190951	545	577
1191218	620	668
1191260	620	605
1191769	588	596
1191781	631	615
1191797	627	658
1192417	599	610
1192689	595	605
1192705	553	588
1193279	613	679
1193280	644	668
1193281	635	658
1193285	577	610
1193286	577	577
1193288	595	643
1193289	599	620
1193291	792	782
1193308	592	615
1193392	623	625
1193403	574	593
1193676	622	645
1193684	626	682
1193690	620	637
1193723	537	572
1193985	648	658
1194557	613	625
1196935	663	668
1196937	623	631
1196950	602	610
1196951	639	650
1198620	577	572
1199305	638	661
1199306	644	679
1199515	606	577
1199518	631	720
1199543	613	631
1200678	584	596
1200763	573	615
1200888	583	572
1201378	616	656
1202361	659	700
1202449	663	717
1208951	635	637
1209444	659	680
1209445	605	583
1210915	609	640
1211309	605	588
1213829	617	622
1214966	584	622
1217761	591	636
1218200	677	666
1218271	595	610
1222982	591	555
1222985	564	566
1222995	666	708
1223015	609	616
1223019	591	604
1223023	613	622
1223028	657	666
1223048	626	610
1223506	574	561
1223509	631	666
1223529	613	577
1224125	707	733
1224361	649	610
1224437	595	577
1224444	617	645
1224461	663	645
1226154	584	610
1226309	598	577
1226362	584	561
1226378	609	566
1229264	545	542
1232337	NA	577
1232743	577	572
1232744	584	583
1233335	631	650
1233387	627	621
1233730	545	518
1233824	545	527
1233825	649	708
1233827	584	588
1233833	564	549
1233835	567	566
1233839	577	593
1233840	591	588
1233842	627	643
1233848	613	577
1233855	598	599
1233856	605	572
1233857	643	666
1233858	588	588
1233876	541	577
1233878	602	572
1233886	613	561
1233887	613	599
1233888	598	599
1233895	643	604
1233903	677	682
1233906	557	549
1233915	574	588
1233918	581	599
1233920	595	610
1233921	591	588
1233931	584	549
1233933	560	549
1233940	643	666
1233944	599	679
1233950	545	588
1233952	560	542
1233956	613	583
1233958	692	708
1233962	626	645
1233967	564	561
1233976	677	636
1233981	613	616
1233991	577	561
1233993	581	572
1233997	557	549
1234001	584	588
1234029	591	616
1234048	740	682
1234461	648	687
1234700	581	622
1234730	584	599
1234759	617	636
1234802	631	610
1234806	588	572
1234831	657	636
1234836	666	616
1234841	643	599
1234856	609	593
1234902	643	645
1234943	605	645
1234947	574	572
1235347	613	588
1235489	595	604
1235699	602	566
1235935	591	566
1235950	588	561
1235970	622	636
1236056	577	636
1236061	613	599
1236111	602	588
1236127	677	629
1236183	598	561
1236186	602	593
1236188	631	616
1236247	637	645
1236417	537	561
1238108	577	604
1238113	613	572
1238117	560	583
1238118	557	535
1238121	637	622
1238175	670	634
1238182	609	588
1239585	571	542
1239745	588	599
1240310	560	577
1240395	584	583
1240427	595	588
1240488	605	616
1240654	595	588
1240683	637	622
1240693	605	572
1241282	631	610
1241829	645	650
1242047	602	636
1242312	626	610
1242452	577	555
1242614	591	636
1242630	577	593
1242710	598	610
1242715	626	629
1243136	588	616
1243146	584	577
1243152	617	616
1243182	549	535
1244155	631	599
1245594	631	629
1245714	567	535
1248191	581	583
1251174	567	549
1252274	581	604
1253366	602	577
1253920	595	616
1253921	588	566
1253929	617	583
1254745	609	615
1254856	584	599
1255449	577	588
1256283	560	542
1256793	612	586
1256904	NA	707
1256905	680	669
1256985	628	733
1261027	606	679
1262233	618	635
1263628	577	599
1264342	683	720
1266146	623	643
1277071	648	695
1277414	598	588
1279698	622	616
1284002	627	668
1286754	588	593
1291273	613	620
1291349	644	679
1291416	599	621
1294787	588	566
1300629	613	610
1320609	644	720
1320754	659	671
1337038	623	679
1337039	620	679
1339990	643	632
1340493	592	548
1344353	655	673
1344363	628	625
1344369	669	679
1344384	626	610
1344458	631	593
1351825	653	650
1351899	631	625
1363297	522	555
1365654	557	555
1373146	615	645
1387399	NA	671
1391539	692	682
1401969	595	572
1408152	NA	NA
1409356	643	666
1409738	605	549
1409739	618	609
1410482	717	654
1416874	NA	666
1416874	NA	NA
1419926	602	598
1420177	609	605
1421858	548	524
1421883	620	658
1425938	699	687
1425942	617	636
1426268	602	542
1426554	652	687
1428090	666	629
1428092	653	695
1429198	693	717
1429785	627	577
1431013	584	631
1431545	623	596
1464547	617	654
1464550	605	616
1464553	591	622
1464557	622	614
1465132	631	655
1465167	691	671
1469994	567	555
1470015	564	599
1470194	541	542
1470211	581	582
1473534	663	695
1476016	NA	NA
